Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-10-03,16887.35,16.76,285850592,3.74829,3.6387,2455.32617,6821.89,1699.89
2022-09-30,17094.35,16.97,380204768,3.75471,3.8286,2573.64673,6469.93,1660.61
2022-09-29,16818.1,16.3,340034368,3.74286,3.7856,2596.52979,6624.25,1660.54
2022-09-28,16858.6,16.32,323922464,3.67414,3.7312,2461.6167,6700.52,1659.97
2022-09-27,17007.4,16.39,359895456,3.64186,3.9451,2662.96362,6412.35,1628.9
2022-09-26,17016.3,16.6,492002944,3.64086,3.9244,2632.37085,6259.43,1622.36
2022-09-23,17327.35,15.79,390754848,3.62843,3.6846,2427.67896,6388.88,1643.94
2022-09-22,17629.8,15.07,284094016,3.64143,3.7138,2214.69629,6760.69,1671.22
2022-09-21,17718.35,14.99,245532496,3.60386,3.5299,2239.03198,6634.7,1673.89
2022-09-20,17816.25,15.01,263100880,3.60171,3.563,2165.73291,6734.03,1664.89
2022-09-19,17622.25,14.68,258329584,#N/A,3.4905,2053.20068,6833.11,1675.84
2022-09-16,17530.85,14.61,468464256,3.56529,3.4494,2095.96533,6782.8,1675.06
2022-09-15,17877.4,13.25,289637536,3.52714,3.4489,2096.67969,6792.06,1665.11
2022-09-14,18003.75,13.02,365866944,3.48343,3.4043,2078.92993,7031.49,1697.32
2022-09-13,18070.05,13.21,259922736,3.29257,3.408,2167.27246,6938.93,1702.17
2022-09-12,17936.35,13.56,228242032,3.27014,3.3578,1893.44238,6962.98,1724.54
2022-09-09,17833.35,14.27,270299616,3.24543,3.3097,1814.67651,6910.74,1716.83
2022-09-08,17798.75,14.43,279845696,3.23571,3.317,1882.41113,6660.59,1708.46
2022-09-07,17624.4,14.65,354137888,3.194,3.2635,1965.26172,6535.45,1718.37
2022-09-06,17655.6,14.77,251204528,3.16786,3.3492,2149.37964,6939.36,1702.14
2022-09-05,17665.8,14.82,230309008,3.14486,#N/A,2073.52124,#N/A,1710.4
